gsl,regionalization
Acanthaster_planci_CO1,REALM
Acanthurus_nigricans_CYB,REALM
Acanthurus_nigrofuscus_CYB,Bowen
Acanthurus_olivaceus_CYB,Bowen
Acanthurus_triostegus_A68,Bowen
Carcharhinus_sorrah_CR,Kulbicki_b
Centropyge_flavissima_CYB,PROVINCE
Cephalopholis_argus_CYB,Kulbicki_r
Chaetodon_auriga_CYB,Bowen
Chaetodon_meyeri_CYB,Bowen
Chaetodon_ornatissimus_CYB,VeronDivis
Dascyllus_aruanus_CYB,Bowen
Diadema_paucispinum_A68,Bowen
Diadema_savignyi_A68,Bowen
Holothuria_atra_CO1,Bowen
Labroides_dimidiatus_CR,VeronDivis
Lutjanus_fulvus_CYB,Bowen
Lutjanus_kasmira_CYB,Bowen
Nerita_albicilla_CO1,REALM
Nerita_plicata_CO1,REALM
Panulirus_penicillatus_CO1,Kulbicki_r
Pristipomoides_filamentosus_CYB,Bowen
Sphyraena_barracuda_CYB,Kulbicki_r
Stenella_longirostris_CR,Bowen
Stenopus_hispidus_CO1,REALM
Tridacna_maxima_CO1,Kulbicki_b
Tripneustes_gratilla_CO1,REALM
Coryphaena_hippurus_ND1,REALM
Diadema_setosum_A68,PROVINCE
Naso_unicornis_CR,VeronDivis
Chaetodon_trifasciatus_CO1,VeronDivis
Naso_hexacanthus_CO1,Bowen
Acanthurus_lineatus_CR,REALM
Dascyllus_trimaculatus_CR,REALM
Halichoeres_trimaculatus_CO1,Kulbicki_r
Linckia_laevigata_CO1,Kulbicki_r
Periclimenes_soror_CO1,REALM
Culcita_novaeguineae_CO1,Kulbicki_r
Pomacentrus_coelestis_CR,Kulbicki_r
Thyca_crystallina_CO1,Kulbicki_r
Halichoeres_hortulanus_CR,REALM
Zebrasoma_flavescens_CYB,Bowen
Centropyge_loricula_CYB,Kulbicki_b
Neoniphon_sammara_CYB,Kulbicki_b
Pygoplites_diacanthus_CO1,Bowen
Haptosquilla_glyptocercus_CO1,Keith
Auxis_thazard_CR,Kulbicki_b
Ctenochaetus_striatus_CR,Kulbicki_b
Katsuwonus_pelamis_CR,Kulbicki_b
Scomberomorus_commerson_CR,Kulbicki_b
Tridacna_costata_CO1,REALM
Tridacna_crocea_CO1,REALM
Halichoeres_margaritaceus_CR,REALM
Acanthurus_leucosternon_CYB,REALM
Halichoeres_claudia_CO1,Bowen
Naso_brevirostris_CR,Bowen
Scarus_psittacus_CR,REALM